,Unnamed: 0,label,tweet,tokens,stem,lemmas,text
0,0,0.0,@saud5683 @Mutayyab420 @shivang598 @Ranask35 @milkygaay @Aapaawaambaa @thetanmay @INCIndia Haa jaise tum bhi abhi p\xe2\x80\xa6 https://t.co/wZmXZPIMTD,"['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'haa', 'jaise', 'tum', 'bhi', 'abhi', 'pxe2x80xa6', 'url']",us us us us us us us us haa jais tum bhi abh pxe2x80xa6 url,user user user user user user user user haa jaise tum bhi abhi pxe2x80xa6 url,"User user user user user user user user yes like you too now 2x 80x 6 url
"
1,2,2.0,"Banti hai empowered woman, feminism pe gyan pelti hai aur din bhar roti rehti hai. Pahle rona band kar madarchod!","['banti', 'hai', 'empowered', 'woman', 'feminism', 'pe', 'gyan', 'pelti', 'hai', 'aur', 'din', 'bhar', 'roti', 'rehti', 'hai', 'pahle', 'rona', 'band', 'kar', 'madarchod']",bant hai empow wom femin pe gyan pelt hai aur din bhar rot reht hai pahl ron band kar madarchod,banti hai empower woman feminism pe gyan pelti hai aur din bhar roti rehti hai pahle rona band kar madarchod,"Becomes Empowered Woman Feminism thrives and weeps throughout the day, first stop crying
"
2,4,2.0,RT @kim_jong_korea: @updatingwait @Acutereply Ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai Madarchod t\xe2\x80\xa6,"['rt', 'user', 'user', 'user', 'ab', 'usko', 'chhod', 'mjse', 'bat', 'kr', 'tera', 'baap', 'aa', 'gya', 'hai', 'ab', 'to', 'ldki', 'ko', 'beech', 'me', 'q', 'la', 'ra', 'hai', 'madarchod', 'txe2x80xa6']",rt us us us ab usko chhod mjse bat kr ter baap aa gya hai ab to ldki ko beech me q la ra hai madarchod txe2x80xa6,rt user user user ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai madarchod txe2x80xa6,"Rat user, user, user, leave him now, which thing your father has come, now the girl is in the middle, Madarchod Takshi 2x 80x6
"
3,6,2.0,"@InviSibleSold @mabkhan86 @dridadahn Punjab in madarchodon ko Khila raha hai, nokrian day raha hai aur yeh imran ma\xe2\x80\xa6 https://t.co/fxaRgyKZXF","['user', 'user', 'user', 'punjab', 'in', 'madarchodon', 'ko', 'khila', 'raha', 'hai', 'nokrian', 'day', 'raha', 'hai', 'aur', 'yeh', 'imran', 'maxe2x80xa6', 'url']",us us us punjab in madarchodon ko khil rah hai nokr day rah hai aur yeh imr maxe2x80xa6 url,user user user punjab in madarchodon ko khila raha hai nokrian day raha hai aur yeh imran maxe2x80xa6 url,"USER USER USER PUNJAB FEATURING MADARCHODO IS NOCARIAN DAY AND IT IS IMRAN MAXI 2X 80X 6 URL
"
4,8,2.0,RT @MrMonsterSaid: Agar koi bole ki ja ke chill maar to madarchod ki gand maar lene ka.,"['rt', 'user', 'agar', 'koi', 'bole', 'ki', 'ja', 'ke', 'chill', 'maar', 'to', 'madarchod', 'ki', 'gand', 'maar', 'lene', 'ka']",rt us ag koi bol ki ja ke chil maar to madarchod ki gand maar len ka,rt user agar koi bole ki ja ke chill maar to madarchod ki gand maar lene ka,"Rat user if someone says to kill, then to kill Madarachod's ass
"
5,10,1.0,@InviSibleSold @mabkhan86 @dridadahn Main jutt Punjabi hoon aur paka N league. Madarchod Imran ki Punjab say nafrat clear hai.,"['user', 'user', 'user', 'main', 'jutt', 'punjabi', 'hoon', 'aur', 'paka', 'n', 'league', 'madarchod', 'imran', 'ki', 'punjab', 'say', 'nafrat', 'clear', 'hai']",us us us main jut punjab hoon aur pak n leagu madarchod imr ki punjab say nafr clear hai,user user user main jutt punjabi hoon aur paka n league madarchod imran ki punjab say nafrat clear hai,"USER USER USER I am a Junkat Punjabi and cook na league madarchod imran's hatred of punjab is clear
"
6,12,2.0,@adn_merry To Bhosdike tere Baap ka kya ja raha hai? tu Apna Ghar dekh na Madarchod,"['user', 'to', 'bhosdike', 'tere', 'baap', 'ka', 'kya', 'ja', 'raha', 'hai', 'tu', 'apna', 'ghar', 'dekh', 'na', 'madarchod']",us to bhosdik ter baap ka kya ja rah hai tu apn ghar dekh na madarchod,user to bhosdike tere baap ka kya ja raha hai tu apna ghar dekh na madarchod,"User, Bhosdike, what is going on with your father, don't you see your house
"
7,14,2.0,@updatingwait @Acutereply SUNNY LEONE BANA KE CHODEGE\nTERI MAA KO\nSAMJH ME AAYA \nMADARCHOD NEEM KA PATTA KADVA HAI\xe2\x80\xa6 https://t.co/tsrMfs26rp,"['user', 'user', 'sunny', 'leone', 'bana', 'ke', 'chodegenteri', 'maa', 'konsamjh', 'me', 'aaya', 'nmadarchod', 'neem', 'ka', 'patta', 'kadva', 'haixe2x80xa6', 'url']",us us sunny leon ban ke chodegenter maa konsamjh me aay nmadarchod neem ka patt kadv haixe2x80xa6 url,user user sunny leone bana ke chodegenteri maa konsamjh me aaya nmadarchod neem ka patta kadva haixe2x80xa6 url,"User User Sunny Leone Banne Chote Gatori Maa Konsanjh Came Naamadarchod Neem Leaf Kadva Hexa 2 X 80 X 6 Url
"
8,16,2.0,@akramtyagi @BSF_India @rajnathsingh @Uppolice @moradabadpolice @myogiadityanath Pata nahi aise sanghi kutte ko bha\xe2\x80\xa6 https://t.co/n2PLeOgW0v,"['user', 'user', 'user', 'user', 'user', 'user', 'pata', 'nahi', 'aise', 'sanghi', 'kutte', 'ko', 'bhaxe2x80xa6', 'url']",us us us us us us pat nah ais sangh kut ko bhaxe2x80xa6 url,user user user user user user pata nahi aise sanghi kutte ko bhaxe2x80xa6 url,"User, user, user, user, user address, no such confederate dog, 2x 80x 6 URL
"
9,18,1.0,"RT @AnshKSpeaks: Screw the law of the land. If I find this chutiya Madarchod Mulla I will Lynch him, murder him, cut into millions of pieces and Ha\xe2\x80\xa6","['rt', 'user', 'screw', 'the', 'law', 'of', 'the', 'land', 'if', 'i', 'find', 'this', 'chutiya', 'madarchod', 'mulla', 'i', 'will', 'lynch', 'him', 'murder', 'him', 'cut', 'into', 'millions', 'of', 'pieces', 'and', 'haxe2x80xa6']",rt us screw the law of the land if i find thi chutiy madarchod mull i wil lynch him murd him cut into mil of piec and haxe2x80xa6,rt user screw the law of the land if i find this chutiya madarchod mulla i will lynch him murder him cut into millions of piece and haxe2x80xa6,"rt user screw the law of the land if i find this chutiya madarchod mulla i will lynch him murder him cut into millions of piece and haxe2x80xa6
"
