,label,user,tweet,emb,cleaned_tweets,lemmas
0,0,1615850780,929479629840281601,"[ 0.00447152 -0.00207724 -0.00693714 -0.00578642  0.00488883 -0.00417724
 -0.00212388  0.00228441  0.00169639  0.00564573  0.00676216 -0.00184253
 -0.0054247  -0.00274376 -0.00375505  0.00343703  0.00605765 -0.00402566
 -0.00095168 -0.001766   -0.002011   -0.00319558 -0.00040043 -0.0067849
  0.00355307  0.00701168  0.00617124  0.00467314 -0.00145618 -0.00337653
 -0.00364158  0.00034527 -0.00341348 -0.00508575 -0.0043772  -0.0058216
 -0.00317747 -0.00648472  0.00576369  0.00314209 -0.0027435  -0.00076016
 -0.0036934  -0.0061498   0.00307363 -0.00584077  0.00085714 -0.00352107
  0.00312775 -0.0043352  -0.00407074  0.00584084 -0.00327641  0.00056939
  0.00705515  0.0031882  -0.00744578 -0.00731724 -0.00362331 -0.00730555
  0.00534151 -0.00322955 -0.00446819  0.00186958]","I am a young person and I am quite open to Pakistan, but he has ten thousand of whom are the only leaders who have been able to behave in such a way that he does not want to be a terrorist, he has to be proud of a <hashtag> and <hashtag>",i be muhajir aur mere lye sab se pehly pakistan he agr ten lakh altaf jese leaders bh be zameen ki behurmati kren un sbko sar e aam phansi deni chahye proud to be a <hashtag> and <hashtag>
1,0,903075788756590593,929467030406758400,"[ 0.00511213  0.0066199  -0.00406399 -0.00120997 -0.00748079  0.00554868
 -0.00106917  0.00767811  0.00085139  0.00068035  0.00143436  0.00714203
 -0.00458748  0.00119623  0.00631307 -0.00104365 -0.0009456   0.00603084
  0.00037379 -0.00019184  0.00307586  0.0007807   0.00511994  0.00550566
  0.00306659  0.00541087 -0.00517126 -0.00247577 -0.00342129 -0.00606198
  0.00261476 -0.00680347 -0.00011453 -0.00165522 -0.00300581 -0.00547591
 -0.00262939 -0.00611056  0.00077979  0.00171188  0.00301493 -0.00039495
  0.00296119 -0.00166305  0.00465619  0.00638252  0.00050686 -0.00161266
 -0.00730013  0.00611475 -0.00140223 -0.00578791 -0.00404539 -0.00286332
  0.00495939  0.00606441 -0.00613214  0.00729205  0.0007731  -0.00529957
 -0.00615609 -0.00776407 -0.00646849 -0.00704289]","<User> <User> Doctor Subhash ke PhD in Het Politics has written a brother, then why do all this talk you just play bowl and have fun <url>",<user> <user> doctor sab sahi me ke phd in hate politics wale bhai padhe likhe ho fir kyu ye sab baate karte ho tum bas bowl khelo aur maje lo <url>
2,1,881096476616781825,929460995981901825,"[-0.6831904   2.609242    2.6378176   2.5803633  -2.9649184   0.74779963
 -2.0896928   0.74544114  0.3533959   2.3246906   1.8179352  -1.8206599
 -2.7921286  -4.2113233   2.3002508   1.1746452  -0.88681304  1.5636978
  0.6010687   2.2705941  -2.2928345   1.7520736   0.0057347   4.130738
  1.3474911  -1.8425913   1.2215034  -0.8285358  -0.7537273  -1.1900874
 -2.7536354   4.6198726   0.37786475  0.5723507  -2.2116318   2.1076458
  2.2594738  -0.3681601   3.6945882   1.1302241   0.46634477  0.64284307
  0.91798     0.7035762   1.0448289   1.8499051   0.01812941 -2.407223
 -1.1429653   0.45222804  1.4334031  -0.15935144 -1.497575    1.1135359
  1.2336572   0.7144112  -0.6127565  -0.9546723   2.9015212   2.7385728
 -0.798249   -2.288688   -1.6267408  -1.983898  ]","After the formation of the government, a single decision in the interest of Hindus taken by BJP, should vote by promoting GayagorkarMasjid and hatred.",<user> sarkar banne ke bad hindu hit me ek bhi faisla jo bjp ke dwara liya gaya hobjp ko gaygobarmandirmasjid aur nafrat faila kar vot chahiye
3,1,3268145264,929460432498233344,"[ 1.6771747   0.14684932 -0.8186511   1.8820376  -0.71980584 -0.1787309
  2.254982   -1.0160389  -0.7615902  -1.7315812   0.6223015   0.6605794
 -1.1048168   1.4415001   2.384683    3.2273185   3.7666879   0.57853264
  0.7214475  -2.389122    1.2908653  -1.679461   -3.1183124   0.20900129
  2.5677326  -0.98418784  1.0435661   1.5918591   1.8342245   1.4077995
  0.36469823 -0.07721795  0.84179413 -1.1671761  -0.8879099  -1.6820238
  1.4535921   0.01116566  1.2348913   1.899122   -3.011229   -0.38575196
 -3.358131    0.39681992 -0.48117942 -0.5713736  -2.4133296   1.5130492
 -0.1345965  -0.7194448   0.9792073   2.3086476   2.5247045  -0.19432347
  1.4635113  -0.14340979  1.7803587  -0.46069133  2.8637114   0.2865448
 -1.0529708  -1.3125248   0.46661574  1.2932364 ]",Hate it when the test is not so frozen,hate it jab test ata ho phr bh acha na ho
4,0,763212669524467712,929459222697431040,"[ 1.1214749   3.8859344   3.6560123   2.6603465   0.02129705 -2.2241185
  3.098583    0.8485367  -4.5213804   0.7421578  -6.2219324   4.5981326
 -0.08243924 -1.6429878  -2.682436   -0.29173508  1.5055473  -3.0207977
  2.5933597  -0.96767235 -1.2331133  -0.2721613  -1.5627806   2.4702852
  0.4220973   1.0758808  -2.5605845  -2.0454469   2.5967057  -2.7462285
 -2.1994815  -3.386848    3.0008814  -3.562785   -0.45327687 -0.6747005
 -3.0214846  -0.63683635 -2.8724918  -1.3588325  -0.9723286  -1.5296576
 -2.6689944   3.583523    0.82805043 -2.74774    -1.5575109   0.5255456
 -1.2572827   3.3787587   1.0021182   1.864202    1.9260439  -2.3412156
  3.610899    1.0219055  -1.8061236   0.16480653 -4.365344   -1.6071872
 -0.63705474  0.02732295 -3.6070528  -0.62828314]",<user> One of the victims has been raped and raped by two people after seeing two feet after the rape justified due to the cinematic liberty that has been shown in the public.,<user> ek dil ek jaan akal ke imitihaan kal kp ke rape aur saw between two legs after rape honge justify due to cinematic liberty aaj toh rajput ki ho gayi shaan urdu ki gulaam
5,1,896721858439118848,929458052008263680,"[-0.00319427  0.00349946  0.00317429  0.00479201  0.0029594   0.0030889
  0.00333172  0.00279346  0.00747767 -0.00223905 -0.00773541 -0.00273951
 -0.00578357 -0.00672812  0.00208704 -0.00203948  0.00458549  0.0024099
  0.00223338  0.00497907  0.00764349  0.00253276  0.00490934 -0.00772253
  0.00634057  0.00700205 -0.00709714  0.00208625  0.00233158 -0.00707003
 -0.00521822  0.00152907  0.00542839 -0.00765124  0.00538863  0.00520873
 -0.00335559  0.00110447  0.00425456 -0.00466509  0.00641717  0.00473113
 -0.00573955  0.00756264  0.00682538 -0.00366458  0.00688357  0.00258142
 -0.00103499 -0.0066207  -0.00524351  0.00770108 -0.00482727 -0.00073757
  0.00281525 -0.00608606 -0.00059955 -0.0012863   0.00269042 -0.00196097
  0.00751552  0.00269441  0.00684992 -0.00681686]","<user> If you have not been able to send a message to the media, then you will not hate any other person, nor do you want to do any other work, but if you do not want to go to the hospital, then you can go to the hospital.",<user> sir jyada sentimental mat ho jao peene ke baadjiss desh ki buniyad sirf hindu hatred pe hui ho woh kabhi nahi sudrega aap pok de do yaa phir kabootar udao jawab sirf goliyon se milega
6,0,119401534,929453273362206721,"[-1.7315061  -2.1739635   0.6452544  -0.40603322 -0.8674032  -0.4078986
 -1.7672236   1.3567607   1.7822086   0.30120355 -0.42771018  3.970083
 -2.0113928   3.1653123  -0.5160649   0.6960128   0.24503449  1.2756779
 -0.22106063  6.4166627  -0.914354    0.05005061 -0.5633837   0.87042814
  2.2558255  -1.2890098  -3.1270044  -0.08890466  1.3800433  -0.18219064
  1.3648244   0.51303184  1.4326468   1.2198565  -0.46763375  0.48945534
  3.3949008  -0.38870552 -0.59534997 -1.0194595   0.0609684  -3.9593449
  2.1600287  -1.8422955   4.1434507  -2.8232455   0.20716041 -1.0963391
 -0.85415256 -2.6084123   1.563773    0.97902834 -1.970335   -0.52317595
 -0.04565836 -0.83505213  0.15106595 -0.3919976  -2.2338462   1.4238646
 -2.752031    1.4159414  -1.2912805  -2.4793975 ]","<User> User> User> Bee Very sorry, then what is in the heart of Shilpa's fan-hearted Shilpa She also understands the extent of hatred.",<user> <user> <user> i be very sorry to say saaf dil shilpa ke fan hiten ke dil mein kya hai woh bhi samjhte hain hadh hoti hai nafrat ki bhi
7,0,876886531406831616,929443767131684864,"[ 0.4069001   1.4904561  -0.5913446   0.37910146 -0.53301924  1.0965558
 -0.6166129   0.81403065  0.8912754  -0.37430775 -0.8618039   0.33924726
 -0.11145089 -0.51801026  1.1606121   1.9692059   1.0513107   1.6134982
 -0.49133202  0.81135786 -1.7259499   0.82851    -2.3890047   1.9942302
 -0.02130553  2.4551387   0.01459124  2.1564584   0.07353498  0.3367865
  1.2686896  -1.4405208  -2.697824    1.4964201   1.5482343   2.201772
  1.1055937   0.73604894 -2.2964272  -2.8089445  -2.3971615  -0.54996973
 -0.5381118   1.0861816  -1.3109969   0.12738915  1.0575207   0.2184314
  1.6499553  -0.38392457  1.8151394   0.4673326  -0.71722287  1.3976872
 -0.61779433  0.07075084  0.38302872  0.24727118 -0.23094489 -0.26373753
  0.41592607 -0.6844655   1.9696368  -0.28094274]",<user> has been able to send me a copy of purey42mahino as I would like to see if he is a Muslim who has been abducted in a court of law for the first time since he left the prison for five months.,<user> madambahut sochsamajhkr mai ess tarq pe purey42mahino mei pahucha hoon k asli wajah muslim hatredhai jo kabipartitionramtemplegaumatabharatmaatakijai vandematram raastragan pak premigaddaarbachche jyada 5bibiya25bachche k safar tai karte huey tajmahal p jake atka hai
8,0,712287612938092544,929443297961136129,"[ 0.61694145 -0.5221524  -2.5948741  -1.821656    0.5653922  -4.2703714
  1.292959    1.1006715   2.1741798   0.7211812  -0.2631104  -2.53102
  1.3877872  -2.515096   -4.0011067  -0.72161293 -0.35019895 -1.6120903
 -2.0991359   3.962109   -5.8875046   1.8048083   0.68071854 -1.8934585
  3.689027    2.1331043   3.6614585   0.19164278  0.2612483  -3.6227038
 -0.468481   -1.2812617   0.37011957 -1.4961324  -1.0243108  -1.4667287
  0.9827658   0.6730263  -2.1627772  -3.5122454  -2.233447   -0.39341748
  0.9725717  -0.37580016 -0.21301803 -5.7253356   1.5038998   1.0311022
 -0.03480226 -1.3257842  -2.455685    1.1852401   0.9945902   4.2602663
 -1.9991449  -2.005392    5.690086   -4.249632    0.38782585 -1.4691786
 -1.9170218   4.9835186  -1.006255   -0.8741424 ]",<User> is ram amoji hate this emoji i miss nagini,<user> ha rem emoji i hate this emoji mujhe nagini ki hi yaad aati hai
9,0,1452232537,929439006470918150,"[-0.00306906 -0.00083599  0.00232291  0.00730622 -0.0013064  -0.0049896
 -0.0033531   0.00689008 -0.002691   -0.00672046  0.00414458 -0.00025195
  0.00113648  0.00631073  0.00587684  0.00295438  0.00468966  0.00069029
  0.00774726 -0.00579999  0.00280014  0.00353699 -0.0044001  -0.00692296
 -0.00493285  0.00477521  0.00702374  0.00287035 -0.00067032  0.00569102
  0.00137838  0.00291103 -0.00676936  0.00666759 -0.00617279 -0.0038243
 -0.00168894 -0.00776091 -0.00078229 -0.00499705  0.00466999  0.00303321
  0.00728824 -0.001737    0.00737484 -0.00724017 -0.00379257 -0.00259762
  0.00673454  0.00016291 -0.00167832  0.00322891  0.00502365  0.0014064
 -0.00513257  0.00433539  0.00694622 -0.00147593  0.00347973  0.00495929
  0.00304161  0.00286675  0.00743755 -0.00688586]","<user> <user> <user> <user> ladla wo hay jo fard jurm kare badhe girftar hai hot money no trail nahi hai, i have not killed any fourteen murders and no phansi lagti",<user> <user> <user> <user> ladla wo hay jo fard jurm kay bad bhi girftar nahi hota money trail nahi deta aur saza nahi milti fourteen murder karta hay aur phansi nahi lagti
