maa baap
beti beta
bhai behen
chacha chachi
mama mami
son daughter
mother father
gal guy
girl boy
female male
bhaiya bhabhi
kutta kutiya
dog bitch
gadha gadhi
waiter waitress

hindu muslim
hindu christian
muslim christian
sikh hindu
sikh christian
sikh muslim
hindu parsi
sikh parsi
muslim parsi
christian parsi
hindu mulla
christian mulla
sikh mulla
parsi mulla
mulle pandit
convent monastry
church mosque
mandir masjid
temple church 
temple mosque
mandir gurudwara
gurudwara mosque

kaale gore
black white
arabs jews
kala gora
jaat punjabi
baniya jaat
punjabi baniya
gujjar punjabi
gujjar baniya
gujjar jaat






