id,tweet,label
929479629840281601,I am Muhajir .. Aur mere lye sab se Pehly Pakistan he .. agr 10 lakh Altaf Jese leaders bh is zameen ki behurmati kren un sbko sar e aam phansi Deni chahye .. Proud to be a #Muhajir and #Pakistani,Normal Speech
929467030406758400,"@drshrishyoga @SahilThoughts_ Doctor 👨‍⚕️ sab sahi me ke PhD (in hate politics) wale. Bhai padhe likhe ho fir kyu ye sab baate karte ho. Tum bas bowling 🎳 khelo, aur maje lo. https://t.co/fk1qUbQstw",Normal Speech
929460995981901825,"@yugpurushg Sarkar banne ke bad Hindu hit me ek bhi faisla Jo bjp ke dwara liya gaya ho,bjp ko  gay,gobar,mandir,masjid aur nafrat faila kar vot chahiye",Hate Speech
929460432498233344,Hate it jab test ata ho phr bh acha na ho -.-,Hate Speech
929459222697431040,@ashokepandit Ek dil ek jaan akal ke imitihaan kal KP ke rape aur sawing between two legs after rape honge justified due to cinematic liberty aaj toh Rajput ki ho gayi shaan urdu ki gulaam,Normal Speech
929458052008263680,"@chintskap Sir, jyada sentimental mat ho jao peene ke baad.Jiss desh ki buniyad sirf Hindu hatred pe hui ho woh kabhi nahi sudrega. Aap POK de do yaa phir Kabootar udao, jawab sirf goliyon se milega....",Hate Speech
929453273362206721,@justchill86 @SeemaSwati262 @madmadyk I am very sorry to say saaf dil shilpa ke fans hiten ke dil mein kya hai woh bhi samjhte hain hadh hoti hai nafrat ki bhi,Normal Speech
929443767131684864,"@RealQueenSimran Madam,Bahut sochsamajhkr Mai ESS tarq pe purey42mahino mei pahucha hoon k Asli wajah ""MUSLIM Hatred""hai Jo kabi,Partition,RamTemple,GauMata,BharatMaataKiJai, VandeMatram, Raastragan, Pak Premi,Gaddaar,Bachche jyada ,5Bibiya25Bachche k safar tai karte Huey TAJMAHAL p jake atka hai",Normal Speech
929443297961136129,"@rashisingh02 Ha😂😂 rem  ""😦"" emoji I hate this emoji! Mujhe nagini ki hi yaad aati Hai😂😂",Normal Speech
929439006470918150,"@Wikoo_KhAn @SMMuteeb @SyedHaider9087 @Babar_Sattar Ladla wo hay jo fard jurm kay bad bhi girftar nahi hota, money trail nahi deta aur saza nahi milti, 14 murder karta hay aur phansi nahi lagti.",Normal Speech
929437933471281152,@Sharmil68670275 @IndiaToday aur ye barun ka comeback show tha. koi q nahi dekhna chahega? lekin fir b nahi dekh paye... mai shivani ko q hate karu? muze uski acting nahi achchi lagi. jo muze laga wo maine kaha. wo mera opinion hai.,Normal Speech
929437528926560256,Sir ji ab ye possible nahi hai bahut nafrat hai dono or ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab to mar gaye or neharu ji bhi ab fir se ek kartay hai dono mulk ko @chintskap akhand bharat ek bharat https://t.co/2Mv6cfVffc,Normal Speech
929431275357716480,@BiggBossNewz Achha bta diya hum n show hi nhi dekha tha. Khbri krta kuch ni sirf mAA bnta h kr hina ko hate.,Normal Speech
929429959713722368,"@SarwarANaqvi Karachi say agencies panjabi, pathano ko qatal kerkay onki lashain gaoon bhaijti hain takey mohajiro kaykhilaf nafrat paida ho",Hate Speech
929425547024674816,@GenuineShanatic Haa bhai. Ye chutiye log ki hatred apni liye milan ki bela ban k aayi hai. Lets screw this haters!! @addiadn1989 #WeSupportPadmavati,Hate Speech
929425304992358400,@BiggBossNewz Abe bigg boss show me baki contestants bhi hai un se related news deta nhi...sirf sari updates hina se related deta hai...wo bhi hate wali...khabari hai bakri chabar chabar karta rehta hina k bare me,Normal Speech
929423187523330050,Stone Miracle of Hazrat Imam Hussain (RA) | Wo Pathar Jis Se Abhi Tak Khoon Behta Hai: https://t.co/0WeL8pZeXC via @YouTube,Normal Speech
929422849814573056,@Fatima_Arya @SabkiBhabhi @SushmaAnand89 Pappu ka ye saja phansi se kam nahi,Normal Speech
929419758407241728,@OvaisWarraich Sir phansi nahi. .. sirf looted money wapas chaiya,Normal Speech
929419055995404288,"@Atheist_Krishna Bhai, ye log honour killing mein vishwas rakhne walo me se hain, khud dusri ki beheno ko din raat chedege, kisine inki behen pe tippani bhi kardi toh murder vegere ki dhamki dete hain",Hate Speech
929419055802540037,@RubikaLiyaquat @rehankhanrmp @ZeeNews Aap log kabhi America ki dalali karto kabhi nafrat,Normal Speech
929417588471316481,Agar isse love kehte toh hum jo karte usse kya hate? 🙂🙂 @ChawalaRiya @Yashika12_K9 https://t.co/BOvRgHtk0G,Normal Speech
929416501005762560,#Narendra modi u r a hopeless PM... Apne garib ko maar daala...... I hate u.... Sirf aap bol bacchan dete ho karte kuch bhi nhi...... U r fake person,Hate Speech
929416041570164738,@TanzeelSHK @AyazLatifPalijo Provinces or Banana to achi baat hay. Magar Pakistani bun Jana to Fakhar ki baat hui na. Baat baat p nafrat. Achi nahi,Normal Speech
929414405229547526,@befikra345 @mahwashajaz_ @XilleIlahi Acha tou un per quota system laga? Ya unko punjab say baher nikala jaisay mohajiron ko nikala intr sindh say? Unki industry nationalise hoi? Unko punjabion nay nafrat say pukra jaisay sindhi pukarty thy? Punjab ny unko qabool kia lakin sindhi ny hum ko nahi qabol kia,Normal Speech
929414177587949569,@HansaPTI Bhutto Sb juke nahi phansi char gaye...Niazi se kaho mafi nama wapis le kar phansi char jaye phir maanoo or gande message bi chorne pare ge,Normal Speech
929413862067179520,@KhSaad_Rafique Pervez musharraf ...Nawaz shareef ki tarhan haramkhoor choor aur awan ka paisa lotnay wala nahe tha atleast.. Haramkhoor nawaz shareef ko phansi do moto gang k sath,Normal Speech
929412633400193024,@Mk6401 @Anjupra7743 @RoflRavish @ModiLeDubega @kiran_patniak @DubeyAbhay_ @S_aryan_Arya @EkAkel Jis country me sab se kam rape hote hn wahan ka qanoon laagu hona chahiye india me. Tabhi in darindo ka kuch ilaaj ho sakta hai.,Normal Speech
929411816949669888,@IndianHuIndian @tufailelif mujhe to dono se hi nafrat he. par BJP se mujhe itni nafrat he Zindagi me ise vote nhi dunga. kyonki ye party vote ke laayak hi nhi he.,Hate Speech
929409727439753217,"as a akshra i hate hina khan ,,but jaise hi usne is ghar m apne aap ko dikhaya hai ,,i respct her ,,bhai kitna bhi galti karlo bandi apne aapko sahi proof kar deti hai ..waah or jinko footage chaea wo hina hina karte rahte hai ,,hina kis kis ko palegi show m.apni image banao sab",Hate Speech
